slide_id,slide_type,forest,n,n_slide,n_runout,tp,tn,fp,fn,auc,auc_prob
1,0,0,10854,175,782.0,167,481,615,8,0.9483480261661739,0.9663679049670246
1,0,1,10854,175,726.0,165,535,561,10,0.9451620670742311,0.9608128101882198
1,0,2,10854,175,726.0,165,535,561,10,0.9451620670742311,0.9608128101882198
1,0,3,10854,175,726.0,165,535,561,10,0.9451620670742311,0.9608128101882198
1,0,4,10854,175,782.0,167,481,615,8,0.9483480261661739,0.9663679049670246
1,0,5,10854,175,782.0,167,481,615,8,0.9483480261661739,0.9663679049670246
1,1,0,10854,175,79.0,50,1067,29,125,0.641499337819218,0.6414929166722406
1,1,1,10854,175,77.0,49,1068,28,126,0.6386890158254519,0.6386769761748693
1,1,2,10854,175,77.0,49,1068,28,126,0.6386890158254519,0.6386769761748693
1,1,3,10854,175,77.0,49,1068,28,126,0.6386890158254519,0.6386769761748693
1,1,4,10854,175,79.0,50,1067,29,125,0.641499337819218,0.6414929166722406
1,1,5,10854,175,79.0,50,1067,29,125,0.641499337819218,0.6414929166722406
1,2,0,10854,175,373.0,119,842,254,56,0.8281075007023131,0.8331780664321166
1,2,1,10854,175,350.0,119,865,231,56,0.8291843805599776,0.8338110845049698
1,2,2,10854,175,350.0,119,865,231,56,0.8291843805599776,0.8338110845049698
1,2,3,10854,175,350.0,119,865,231,56,0.8291843805599776,0.8338110845049698
1,2,4,10854,175,373.0,119,842,254,56,0.8281075007023131,0.8331780664321166
1,2,5,10854,175,373.0,119,842,254,56,0.8281075007023131,0.8331780664321166
1,3,0,10854,175,81.0,51,1066,30,124,0.644309659812984,0.6443401602611266
1,3,1,10854,175,78.0,49,1067,29,126,0.6386421949620752,0.6386756384359157
1,3,2,10854,175,78.0,49,1067,29,126,0.6386421949620752,0.6386756384359157
1,3,3,10854,175,78.0,49,1067,29,126,0.6386421949620752,0.6386756384359157
1,3,4,10854,175,81.0,51,1066,30,124,0.644309659812984,0.6443401602611266
1,3,5,10854,175,81.0,51,1066,30,124,0.644309659812984,0.6443401602611266
10,0,0,11520,124,1294.0,124,588,1170,0,0.9486661986661986,0.9885967345644765
10,0,1,11520,124,1294.0,124,588,1170,0,0.9486661986661986,0.9885967345644765
10,0,2,11520,124,1294.0,124,588,1170,0,0.9486661986661986,0.9885967345644765
10,0,3,11520,124,1294.0,124,588,1170,0,0.9486661986661986,0.9885967345644765
10,0,4,11520,124,1294.0,124,588,1170,0,0.9486661986661986,0.9885967345644765
10,0,5,11520,124,1294.0,124,588,1170,0,0.9486661986661986,0.9885967345644765
10,1,0,11520,124,236.0,101,1623,135,23,0.9013349335929981,0.9026426929652737
10,1,1,11520,124,236.0,101,1623,135,23,0.9013349335929981,0.9026426929652737
10,1,2,11520,124,236.0,101,1623,135,23,0.9013349335929981,0.9026426929652737
10,1,3,11520,124,236.0,101,1623,135,23,0.9013349335929981,0.9026426929652737
10,1,4,11520,124,236.0,101,1623,135,23,0.9013349335929981,0.9026426929652737
10,1,5,11520,124,236.0,101,1623,135,23,0.9013349335929981,0.9026426929652737
10,2,0,11520,124,810.0,110,1058,700,14,0.9128358563842436,0.9321709513241773
10,2,1,11520,124,810.0,110,1058,700,14,0.9128358563842436,0.9321709513241773
10,2,2,11520,124,810.0,110,1058,700,14,0.9128358563842436,0.9321709513241773
10,2,3,11520,124,810.0,110,1058,700,14,0.9128358563842436,0.9321709513241773
10,2,4,11520,124,810.0,110,1058,700,14,0.9128358563842436,0.9321709513241773
10,2,5,11520,124,810.0,110,1058,700,14,0.9128358563842436,0.9321709513241773
10,3,0,11520,124,234.0,101,1625,133,23,0.9014226836807482,0.9028811750585944
10,3,1,11520,124,234.0,101,1625,133,23,0.9014226836807482,0.9028811750585944
10,3,2,11520,124,234.0,101,1625,133,23,0.9014226836807482,0.9028811750585944
10,3,3,11520,124,234.0,101,1625,133,23,0.9014226836807482,0.9028811750585944
10,3,4,11520,124,234.0,101,1625,133,23,0.9014226836807482,0.9028811750585944
10,3,5,11520,124,234.0,101,1625,133,23,0.9014226836807482,0.9028811750585944
11,0,0,9996,58,1126.0,58,407,1068,0,0.9462668544978868,0.9990397360184871
11,0,1,9996,58,1123.0,58,410,1065,0,0.9464177902998591,0.9990336638885227
11,0,2,9996,58,1123.0,58,410,1065,0,0.9464177902998591,0.9990336638885227
11,0,3,9996,58,1123.0,58,410,1065,0,0.9464177902998591,0.9990336638885227
11,0,4,9996,58,1126.0,58,407,1068,0,0.9462668544978868,0.9990397360184871
11,0,5,9996,58,1126.0,58,407,1068,0,0.9462668544978868,0.9990397360184871
11,1,0,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9982000471891244
11,1,1,9996,58,324.0,58,1209,266,0,0.9866170255584625,0.9981905052706088
11,1,2,9996,58,324.0,58,1209,266,0,0.9866170255584625,0.9981905052706088
11,1,3,9996,58,324.0,58,1209,266,0,0.9866170255584625,0.9981905052706088
11,1,4,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9982000471891244
11,1,5,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9982000471891244
11,2,0,9996,58,587.0,58,946,529,0,0.9733849869188972,0.9992192975760058
11,2,1,9996,58,584.0,58,949,526,0,0.9735359227208694,0.999218430128868
11,2,2,9996,58,584.0,58,949,526,0,0.9735359227208694,0.999218430128868
11,2,3,9996,58,584.0,58,949,526,0,0.9735359227208694,0.999218430128868
11,2,4,9996,58,587.0,58,946,529,0,0.9733849869188972,0.9992192975760058
11,2,5,9996,58,587.0,58,946,529,0,0.9733849869188972,0.9992192975760058
11,3,0,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9989399795976434
11,3,1,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9989313051262656
11,3,2,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9989313051262656
11,3,3,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9989313051262656
11,3,4,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9989399795976434
11,3,5,9996,58,329.0,58,1204,271,0,0.9863654658885088,0.9989399795976434
12,0,0,9718,110,1327.0,110,455,1217,0,0.9366673605328892,0.9985348383922488
12,0,1,9718,110,1327.0,110,455,1217,0,0.9366673605328892,0.9985348383922488
12,0,2,9718,110,1327.0,110,455,1217,0,0.9366673605328892,0.9985348383922488
12,0,3,9718,110,1327.0,110,455,1217,0,0.9366673605328892,0.9985348383922488
12,0,4,9718,110,1327.0,110,455,1217,0,0.9366673605328892,0.9985348383922488
12,0,5,9718,110,1327.0,110,455,1217,0,0.9366673605328892,0.9985348383922488
12,1,0,9718,110,371.0,110,1411,261,0,0.9864175686927561,0.9973781318598138
12,1,1,9718,110,371.0,110,1411,261,0,0.9864175686927561,0.9973781318598138
12,1,2,9718,110,371.0,110,1411,261,0,0.9864175686927561,0.9973781318598138
12,1,3,9718,110,371.0,110,1411,261,0,0.9864175686927561,0.9973781318598138
12,1,4,9718,110,371.0,110,1411,261,0,0.9864175686927561,0.9973781318598138
12,1,5,9718,110,371.0,110,1411,261,0,0.9864175686927561,0.9973781318598138
12,2,0,9718,110,719.0,110,1063,609,0,0.9683076602830974,0.9987259669971994
12,2,1,9718,110,719.0,110,1063,609,0,0.9683076602830974,0.9987259669971994
12,2,2,9718,110,719.0,110,1063,609,0,0.9683076602830974,0.9987259669971994
12,2,3,9718,110,719.0,110,1063,609,0,0.9683076602830974,0.9987259669971994
12,2,4,9718,110,719.0,110,1063,609,0,0.9683076602830974,0.9987259669971994
12,2,5,9718,110,719.0,110,1063,609,0,0.9683076602830974,0.9987259669971994
12,3,0,9718,110,380.0,110,1402,270,0,0.9859492089925063,0.998401899931875
12,3,1,9718,110,380.0,110,1402,270,0,0.9859492089925063,0.998401899931875
12,3,2,9718,110,380.0,110,1402,270,0,0.9859492089925063,0.998401899931875
12,3,3,9718,110,380.0,110,1402,270,0,0.9859492089925063,0.998401899931875
12,3,4,9718,110,380.0,110,1402,270,0,0.9859492089925063,0.998401899931875
12,3,5,9718,110,380.0,110,1402,270,0,0.9859492089925063,0.998401899931875
13,0,0,8284,42,631.0,42,448,589,0,0.9642683814608105,0.9987982574733365
13,0,1,8284,42,631.0,42,448,589,0,0.9642683814608105,0.9987982574733365
13,0,2,8284,42,631.0,42,448,589,0,0.9642683814608105,0.9987982574733365
13,0,3,8284,42,631.0,42,448,589,0,0.9642683814608105,0.9987982574733365
13,0,4,8284,42,631.0,42,448,589,0,0.9642683814608105,0.9987982574733365
13,0,5,8284,42,631.0,42,448,589,0,0.9642683814608105,0.9987982574733365
13,1,0,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9984068245109256
13,1,1,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9984068245109256
13,1,2,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9984068245109256
13,1,3,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9984068245109256
13,1,4,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9984068245109256
13,1,5,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9984068245109256
13,2,0,8284,42,376.0,42,703,334,0,0.9797379276874545,0.9986379288429762
13,2,1,8284,42,376.0,42,703,334,0,0.9797379276874545,0.9986379288429762
13,2,2,8284,42,376.0,42,703,334,0,0.9797379276874545,0.9986379288429762
13,2,3,8284,42,376.0,42,703,334,0,0.9797379276874545,0.9986379288429762
13,2,4,8284,42,376.0,42,703,334,0,0.9797379276874545,0.9986379288429762
13,2,5,8284,42,376.0,42,703,334,0,0.9797379276874545,0.9986379288429762
13,3,0,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9986668168844826
13,3,1,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9986668168844826
13,3,2,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9986668168844826
13,3,3,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9986668168844826
13,3,4,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9986668168844826
13,3,5,8284,42,107.0,42,972,65,0,0.9960567823343849,0.9986668168844826
14,0,0,8547,46,955.0,46,417,909,0,0.9465357016821551,0.9995550395605634
14,0,1,8547,46,955.0,46,417,909,0,0.9465357016821551,0.9995550395605634
14,0,2,8547,46,955.0,46,417,909,0,0.9465357016821551,0.9995550395605634
14,0,3,8547,46,955.0,46,417,909,0,0.9465357016821551,0.9995550395605634
14,0,4,8547,46,955.0,46,417,909,0,0.9465357016821551,0.9995550395605634
14,0,5,8547,46,955.0,46,417,909,0,0.9465357016821551,0.9995550395605634
14,1,0,8547,46,250.0,46,1122,204,0,0.9880014115986355,0.9979414186566287
14,1,1,8547,46,250.0,46,1122,204,0,0.9880014115986355,0.9979414186566287
14,1,2,8547,46,250.0,46,1122,204,0,0.9880014115986355,0.9979414186566287
14,1,3,8547,46,250.0,46,1122,204,0,0.9880014115986355,0.9979414186566287
14,1,4,8547,46,250.0,46,1122,204,0,0.9880014115986355,0.9979414186566287
14,1,5,8547,46,250.0,46,1122,204,0,0.9880014115986355,0.9979414186566287
14,2,0,8547,46,523.0,46,849,477,0,0.9719444771203387,0.9997084741948518
14,2,1,8547,46,523.0,46,849,477,0,0.9719444771203387,0.9997084741948518
14,2,2,8547,46,523.0,46,849,477,0,0.9719444771203387,0.9997084741948518
14,2,3,8547,46,523.0,46,849,477,0,0.9719444771203387,0.9997084741948518
14,2,4,8547,46,523.0,46,849,477,0,0.9719444771203387,0.9997084741948518
14,2,5,8547,46,523.0,46,849,477,0,0.9719444771203387,0.9997084741948518
14,3,0,8547,46,249.0,46,1123,203,0,0.9880602282084461,0.999424620121418
14,3,1,8547,46,249.0,46,1123,203,0,0.9880602282084461,0.999424620121418
